0 2 Tony Bretzman D
1 3 Jordan Gross D
2 4 Nathan Billitier D
3 5 Robbie Russo D
4 6 Andy Ryan D
5 8 Ben Ostlie RW/D
6 9 Dawson Cook C
7 10 Anders Bjork LW
8 12 Sam Herr LW
9 13 Vince Hinostroza C
10 14 Thomas Dipauli C
11 15 Peter Schneider RW
12 16 Connor Hurley C
13 17 Ali Thomas LW
14 18 Jake Evans C/RW
15 19 Garrett Peterson RW
16 20 Justin Wade D
17 21 Joe Aiken LW
18 22 Mario Lucia LW
19 23 Eric Johnson D
20 24 Luke Ripley D
21 26 Steven Fogarty C
22 27 Austin Wuthrich RW
23 29 Bo Brauer RW
24 33 Chad Katunar G
25 35 Nick Stasack G
26 40 Cal Petersen G
